lemma,bridge_rank,pos,,
sicco,3501,Verb,,
quousque,4092,Adverb,,
volvo,1222,Verb,,
eva,6312,Noun,,
mare,210,Noun,,
formidolosus,5593,Adjective,,
vix,403,Adverb,,
lignum,1678,Noun,,
conscendo,2492,Verb,,
tono,2328,Verb,,
iuppiter,312,Noun,,
adultero,10611,Verb,,
imitor,1216,Verb,,
adulterium,2882,Noun,,
lenocinor,10611,Verb,,
tonitrus,4696,Noun,,
paenulatus,12372,Adjective,,
sobrius,3679,Adjective,,
pulvis,1845,Noun,,
fingo,812,Verb,,
transfero,1186,Verb,,
divinus,658,Adjective,,
malo,528,Verb,,
flagitiosus,4120,Adjective,,
flagitium,1351,Noun,,
caelestis,1289,Adjective,,
o,184,Interjection,,
tartareus,5758,Adjective,,
merces,1429,Noun,,
publicus,281,Adjective,,
forum,490,Noun,,
conspectus,1307,Noun,,
supra,810,Preposition,,
salarium,11106,Noun,,
decerno,728,Verb,,
saxum,525,Noun,,
percutio,1335,Verb,,
adquiro,3536,Verb,,
eloquentia,1642,Noun,,
persuadeo,1525,Verb,,
explico,1473,Verb,,
maxime,2187,Adverb,,
necessarius,1002,Adjective,,
cognosco,224,Verb,,
imber,1344,Noun,,
aureus,742,Adjective,,
gremium,1988,Noun,,
fucus,5675,Noun,,
templum,430,Noun,,
terentius,6882,Noun,,
induco,1296,Verb,,
nequam,2577,Adjective,,
adulescens,915,Adjective,,
exemplum,456,Noun,,
stuprum,2154,Noun,,
specto,435,Verb,,
tabula,884,Noun,,
pingo,1458,Verb,,
paries,2091,Noun,,
insum,1451,Verb,,
pictura,4488,Noun,,
pactum,2018,Noun,,
danae,6512,Noun,,
mitto,103,Verb,,
aio,256,Verb,,
quondam,865,Adverb,,
mulier,529,Noun,,
concito,1759,Verb,,
libido,746,Noun,,
magisterium,8017,Noun,,
concutio,2033,Verb,,
homuncio,10193,Noun,,
turpitudo,2663,Noun,,
commodus,1466,Adjective,,
confidens,8902,Adjective,,
perpetro,6512,Verb,,
accuso,888,Verb,,
electus,5850,Adjective,,
pretiosus,2010,Adjective,,
vinum,506,Noun,,
propino,6740,Verb,,
ebrius,2182,Adjective,,
doctor,3336,Noun,,
bibo,743,Verb,,
appello,511,Verb,,
iudex,223,Noun,,
licet,241,Verb,,
recordatio,5294,Noun,,
ob,448,Preposition,,
spes,240,Noun,,
munus,313,Noun,,
deliramentum,13204,Noun,,
attero,4242,Verb,,
praemium,623,Noun,,
dedecus,1852,Noun,,
iuno,1222,Noun,,
italia,500,Noun,,
teucrus,2262,Adjective,,
averto,1447,Verb,,
erro,647,Verb,,
solutus,10193,Adjective,,
versus,909,Noun,,
adumbro,8659,Verb,,
persona,1682,Noun,,
ira,333,Noun,,
emineo,2754,Verb,,
vestio,2387,Verb,,
recito,911,Verb,,
acclamo,7452,Verb,,
prae,1918,Adverb,,
coaetaneus,15606,Adjective,,
collector,20965,Noun,,
fumus,2262,Noun,,
ventus,399,Noun,,
exerceo,816,Verb,,
scriptura,4639,Noun,,
suspendo,1393,Verb,,
palmes,5379,Noun,,
rapio,379,Verb,,
turpis,437,Adjective,,
praeda,614,Noun,,
volatilis,6740,Adjective,,
sacrifico,5102,Verb,,
transgressor,20965,Noun,,
angelus,2500,Noun,,
mirus,706,Adverb,,
foras,2091,Adverb,,
factum,521,Noun,,
barbarismus,14166,Noun,,
soloecismus,12372,Noun,,
confundo,2298,Verb,,
integer,823,Adjective,,
rite,3108,Adverb,,
consequor,958,Verb,,
orno,675,Verb,,
narro,781,Verb,,
glorior,2731,Verb,,
